seed,strategy,model,accuracy,f1_score
1971,balanced_on,GradientBoostingClassifier,0.8823529411764706,0.8792910125927204
1971,balanced_on,DecisionTreeClassifier,0.8431372549019608,0.8412011863568957
1971,balanced_on,SVC,0.5098039215686274,0.4356351236146632
1971,balanced_drop,GradientBoostingClassifier,0.9019607843137255,0.8947368421052633
1971,balanced_drop,DecisionTreeClassifier,0.8627450980392157,0.8566176470588235
1971,balanced_drop,SVC,0.6078431372549019,0.6138541389406441
1971,balanced_stretch,GradientBoostingClassifier,0.8627450980392157,0.856283422459893
1971,balanced_stretch,DecisionTreeClassifier,0.8431372549019608,0.8400491126241768
1971,balanced_stretch,SVC,0.6274509803921569,0.6261501210653753
6939,base,GradientBoostingClassifier,0.9215686274509803,0.9242226183402653
6939,base,DecisionTreeClassifier,0.8627450980392157,0.868997668997669
6939,base,SVC,0.7450980392156863,0.7284313725490196
6939,balanced_in,GradientBoostingClassifier,0.9215686274509803,0.9247639796659405
6939,balanced_in,DecisionTreeClassifier,0.8823529411764706,0.8902939868533654
6939,balanced_in,SVC,0.7058823529411765,0.7095845331139449
6939,balanced_on,GradientBoostingClassifier,0.9215686274509803,0.9213719343536788
6939,balanced_on,DecisionTreeClassifier,0.8235294117647058,0.8400871459694988
6939,balanced_on,SVC,0.5490196078431373,0.3891784561926036
6939,balanced_drop,GradientBoostingClassifier,0.9607843137254902,0.9607843137254902
6939,balanced_drop,DecisionTreeClassifier,0.8627450980392157,0.8700072621641249
6939,balanced_drop,SVC,0.7450980392156863,0.7471593765711413
6939,balanced_stretch,GradientBoostingClassifier,0.9215686274509803,0.9215686274509803
6939,balanced_stretch,DecisionTreeClassifier,0.803921568627451,0.7560114159921296
6939,balanced_stretch,SVC,0.7450980392156863,0.7307911875385923
9375,base,GradientBoostingClassifier,0.9019607843137255,0.8997629680741634
9375,base,DecisionTreeClassifier,0.8627450980392157,0.8600607690121758
9375,base,SVC,0.6470588235294118,0.6178409825468648
9375,balanced_in,GradientBoostingClassifier,0.9019607843137255,0.89760348583878
9375,balanced_in,DecisionTreeClassifier,0.8823529411764706,0.8784335349800246
9375,balanced_in,SVC,0.6666666666666666,0.6682910464890442
9375,balanced_on,GradientBoostingClassifier,0.9019607843137255,0.89760348583878
9375,balanced_on,DecisionTreeClassifier,0.8823529411764706,0.8779956427015251
9375,balanced_on,SVC,0.43137254901960786,0.29705408733541727
9375,balanced_drop,GradientBoostingClassifier,0.8823529411764706,0.8804091333503098
9375,balanced_drop,DecisionTreeClassifier,0.8823529411764706,0.8799053983444711
9375,balanced_drop,SVC,0.7058823529411765,0.7054729584141348
9375,balanced_stretch,GradientBoostingClassifier,0.8823529411764706,0.8784335349800246
9375,balanced_stretch,DecisionTreeClassifier,0.8235294117647058,0.8198332206445795
