seed,strategy,model,accuracy,f1_score
7950,balanced_drop,DecisionTreeClassifier,0.625,0.6045454545454545
7950,balanced_drop,RandomForestClassifier,0.75,0.7500000000000001
7950,balanced_stretch,GradientBoostingClassifier,0.75,0.7083333333333333
7950,balanced_stretch,DecisionTreeClassifier,0.75,0.7083333333333333
7950,balanced_stretch,RandomForestClassifier,0.75,0.7499999999999999
2884,base,GradientBoostingClassifier,0.75,0.75
2884,base,DecisionTreeClassifier,0.75,0.75
2884,base,RandomForestClassifier,0.875,0.873015873015873
2884,balanced_in,GradientBoostingClassifier,0.625,0.6190476190476191
2884,balanced_in,DecisionTreeClassifier,0.625,0.6190476190476191
2884,balanced_in,RandomForestClassifier,0.875,0.873015873015873
2884,balanced_on,GradientBoostingClassifier,0.625,0.6190476190476191
2884,balanced_on,DecisionTreeClassifier,0.5,0.5
2884,balanced_on,RandomForestClassifier,0.75,0.75
2884,balanced_drop,GradientBoostingClassifier,0.875,0.873015873015873
2884,balanced_drop,DecisionTreeClassifier,0.875,0.873015873015873
2884,balanced_drop,RandomForestClassifier,0.875,0.873015873015873
2884,balanced_stretch,GradientBoostingClassifier,0.625,0.6190476190476191
2884,balanced_stretch,DecisionTreeClassifier,0.75,0.75
2884,balanced_stretch,RandomForestClassifier,0.75,0.75
1971,base,GradientBoostingClassifier,0.75,0.7500000000000001
1971,base,DecisionTreeClassifier,0.75,0.7500000000000001
1971,base,RandomForestClassifier,0.5,0.5
1971,balanced_in,GradientBoostingClassifier,0.5,0.5
1971,balanced_in,DecisionTreeClassifier,0.375,0.3409090909090909
1971,balanced_in,RandomForestClassifier,0.75,0.7083333333333333
1971,balanced_on,GradientBoostingClassifier,0.5,0.5
1971,balanced_on,DecisionTreeClassifier,0.25,0.25
1971,balanced_on,RandomForestClassifier,0.375,0.38492063492063494
1971,balanced_drop,GradientBoostingClassifier,0.625,0.6045454545454545
1971,balanced_drop,DecisionTreeClassifier,0.625,0.6045454545454545
1971,balanced_drop,RandomForestClassifier,0.375,0.34523809523809523
1971,balanced_stretch,GradientBoostingClassifier,0.625,0.6071428571428572
1971,balanced_stretch,DecisionTreeClassifier,0.5,0.5
1971,balanced_stretch,RandomForestClassifier,0.5,0.5
6939,base,GradientBoostingClassifier,0.75,0.7500000000000001
6939,base,DecisionTreeClassifier,0.75,0.7499999999999999
6939,base,RandomForestClassifier,0.875,0.8681818181818182
6939,balanced_in,GradientBoostingClassifier,0.75,0.7083333333333333
6939,balanced_in,DecisionTreeClassifier,0.75,0.7083333333333333
6939,balanced_in,RandomForestClassifier,0.75,0.7083333333333333
6939,balanced_on,GradientBoostingClassifier,0.5,0.5
6939,balanced_on,DecisionTreeClassifier,0.5,0.5
6939,balanced_on,RandomForestClassifier,0.875,0.8681818181818182
6939,balanced_drop,GradientBoostingClassifier,0.75,0.7083333333333333
6939,balanced_drop,DecisionTreeClassifier,0.75,0.7083333333333333
6939,balanced_drop,RandomForestClassifier,0.75,0.7500000000000001
6939,balanced_stretch,GradientBoostingClassifier,0.875,0.876984126984127
6939,balanced_stretch,DecisionTreeClassifier,0.875,0.8681818181818182
6939,balanced_stretch,RandomForestClassifier,0.625,0.6045454545454545
9375,base,GradientBoostingClassifier,0.5,0.5666666666666667
9375,base,DecisionTreeClassifier,0.75,0.7916666666666666
9375,base,RandomForestClassifier,0.875,0.891025641025641
9375,balanced_in,GradientBoostingClassifier,0.375,0.4246031746031746
9375,balanced_in,DecisionTreeClassifier,0.5,0.5666666666666667
9375,balanced_in,RandomForestClassifier,0.625,0.6863636363636364
9375,balanced_on,GradientBoostingClassifier,0.625,0.6863636363636364
9375,balanced_on,DecisionTreeClassifier,0.75,0.7916666666666666
9375,balanced_on,RandomForestClassifier,0.5,0.5666666666666667
9375,balanced_drop,GradientBoostingClassifier,0.75,0.8125
9375,balanced_drop,DecisionTreeClassifier,0.625,0.6988636363636364
9375,balanced_drop,RandomForestClassifier,0.5,0.5666666666666667
9375,balanced_stretch,GradientBoostingClassifier,0.375,0.4246031746031746
9375,balanced_stretch,DecisionTreeClassifier,0.25,0.25
9375,balanced_stretch,RandomForestClassifier,0.75,0.7916666666666666
1058,base,GradientBoostingClassifier,0.625,0.4807692307692308
1058,base,DecisionTreeClassifier,0.875,0.8681818181818182
1058,base,RandomForestClassifier,0.875,0.8681818181818182
1058,balanced_in,GradientBoostingClassifier,0.875,0.8681818181818182
1058,balanced_in,DecisionTreeClassifier,0.875,0.8681818181818182
1058,balanced_in,RandomForestClassifier,0.875,0.8681818181818182
1058,balanced_on,GradientBoostingClassifier,0.625,0.6045454545454545
1058,balanced_on,DecisionTreeClassifier,0.625,0.6045454545454545
1058,balanced_on,RandomForestClassifier,0.875,0.8681818181818182
1058,balanced_drop,GradientBoostingClassifier,1.0,1.0
1058,balanced_drop,DecisionTreeClassifier,0.875,0.8681818181818182
1058,balanced_drop,RandomForestClassifier,0.875,0.8681818181818182
1058,balanced_stretch,GradientBoostingClassifier,0.75,0.7500000000000001
1058,balanced_stretch,DecisionTreeClassifier,0.75,0.7500000000000001
1058,balanced_stretch,RandomForestClassifier,0.75,0.7500000000000001
2097,base,GradientBoostingClassifier,0.75,0.7500000000000001
2097,base,DecisionTreeClassifier,0.625,0.6045454545454545
2097,base,RandomForestClassifier,0.375,0.38492063492063494
2097,balanced_in,GradientBoostingClassifier,0.5,0.5
2097,balanced_in,DecisionTreeClassifier,0.5,0.5
2097,balanced_in,RandomForestClassifier,0.625,0.6045454545454545
2097,balanced_on,GradientBoostingClassifier,0.375,0.3409090909090909
2097,balanced_on,DecisionTreeClassifier,0.5,0.5
2097,balanced_on,RandomForestClassifier,0.625,0.6045454545454545
2097,balanced_drop,GradientBoostingClassifier,0.5,0.5
2097,balanced_drop,DecisionTreeClassifier,0.5,0.5
2097,balanced_drop,RandomForestClassifier,0.625,0.6309523809523809
2097,balanced_stretch,GradientBoostingClassifier,0.25,0.15000000000000002
2097,balanced_stretch,DecisionTreeClassifier,0.625,0.6071428571428572
